TimeStamp,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC3_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW1,PLC2_MemoryRegisters_MW2,PLC2_Coils_QX00
2022-05-03 12:16:27.202,60,40,80,0,1,1,1,10,0,0,18,10,20,1
2022-05-03 12:16:28.003,59,40,80,0,1,1,1,10,0,0,18,10,20,1
2022-05-03 12:16:28.804,57,40,80,0,1,1,1,10,0,0,19,10,20,1
2022-05-03 12:16:29.604,56,40,80,0,1,1,1,10,0,0,19,10,20,1
2022-05-03 12:16:30.405,54,40,80,0,1,1,1,10,0,0,20,10,20,0
2022-05-03 12:16:31.205,54,40,80,0,0,0,1,10,0,0,20,10,20,0
2022-05-03 12:16:32.006,54,40,80,0,0,0,1,10,0,0,20,10,20,0
2022-05-03 12:16:32.807,54,40,80,0,0,0,1,10,0,0,19,10,20,0
2022-05-03 12:16:33.608,54,40,80,0,0,0,1,10,0,0,19,10,20,0
2022-05-03 12:16:34.408,54,40,80,0,0,0,1,10,0,0,19,10,20,0
2022-05-03 12:16:35.209,54,40,80,0,0,0,1,10,0,0,19,10,20,0
2022-05-03 12:16:36.009,54,40,80,0,0,0,1,10,0,0,18,10,20,0
2022-05-03 12:16:36.810,54,40,80,0,0,0,1,10,0,0,18,10,20,0
2022-05-03 12:16:37.611,54,40,80,0,0,0,1,10,0,0,18,10,20,0
2022-05-03 12:16:38.411,54,40,80,0,0,0,1,10,0,0,18,10,20,0
2022-05-03 12:16:39.212,54,40,80,0,0,0,1,10,0,0,17,10,20,0
2022-05-03 12:16:40.013,54,40,80,0,0,0,1,10,0,0,17,10,20,0
2022-05-03 12:16:40.813,54,40,80,0,0,0,2,10,0,0,17,10,20,0
2022-05-03 12:16:41.614,54,40,80,0,0,0,2,10,0,0,17,10,20,0
2022-05-03 12:16:42.415,54,40,80,0,0,0,2,10,0,0,16,10,20,0
2022-05-03 12:16:43.215,54,40,80,0,0,0,2,10,0,0,16,10,20,0
2022-05-03 12:16:44.016,54,40,80,0,0,0,2,10,0,0,16,10,20,0
2022-05-03 12:16:44.817,54,40,80,0,0,0,2,10,0,0,16,10,20,0
2022-05-03 12:16:45.617,54,40,80,0,0,0,2,10,0,0,16,10,20,0
2022-05-03 12:16:46.418,54,40,80,0,0,0,2,10,0,0,15,10,20,0
2022-05-03 12:16:47.219,54,40,80,0,0,0,2,10,0,0,15,10,20,0
2022-05-03 12:16:48.020,54,40,80,0,0,0,2,10,0,0,15,10,20,0
2022-05-03 12:16:48.820,54,40,80,0,0,0,2,10,0,0,15,10,20,0
2022-05-03 12:16:49.621,54,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:16:50.421,54,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:16:51.222,54,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:16:52.023,54,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:16:52.823,54,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:16:53.624,54,40,80,0,0,0,2,10,0,0,13,10,20,0
2022-05-03 12:16:54.425,54,40,80,0,0,0,2,10,0,0,13,10,20,0
2022-05-03 12:16:55.225,54,40,80,0,0,0,2,10,0,0,13,10,20,0
2022-05-03 12:16:56.026,54,40,80,0,0,0,2,10,0,0,13,10,20,0
2022-05-03 12:16:56.826,54,40,80,0,0,0,2,10,0,0,12,10,20,0
2022-05-03 12:16:57.627,54,40,80,0,0,0,2,10,0,0,12,10,20,0
2022-05-03 12:16:58.428,54,40,80,0,0,0,2,10,0,0,12,10,20,0
